company_name,country_code,state_code,region,funding_rounds,women_led
WarDucks,IRL,,7,3,True
365 Data Centers,USA,CA,CA,3,False
Abstract,USA,CA,CA,4,True
Advantagene,USA,MA,MA,4,True
Aggregion,GBR,,H9,3,False
AnyMind Group,SGP,,,4,False
AppDetex,USA,ID,ID,3,False
Arzooo Go Store,IND,,19,2,False
Blameless,USA,CA,CA,2,False
Capdesk,GBR,,H9,2,False
Cleo,USA,CA,CA,3,True
DeepMotion,USA,CA,CA,1,True
DogHero,BRA,,27,5,False
Ellipsis Technologies,USA,SC,SC,3,False
GlowRoad,IND,,19,2,True
Harmony Healthcare IT,USA,IN,IN,1,True
Healofy,IND,,19,4,False
HUDWAY,USA,CA,CA,5,True
Inspace XR,AUS,,2,1,False
IPlytics,DEU,,16,4,True
Iterable,USA,CA,CA,5,True
Kaarta,USA,PA,PA,3,True
LOFT BR,BRA,,27,2,True
LONGHASH,HKG,,,1,True
Markforged,USA,MA,MA,5,True
Movius Interactive,USA,GA,GA,7,False
Mynaric,DEU,,2,2,False
Opendoor,USA,CA,CA,7,True
OptiScan Biomedical,USA,CA,CA,6,False
